,video_id,question,answer,question_category,Question_id,Output
0,RealWorld_GN_21_1.mp4,"Question: At the initial position, you are asked to navigate to the vicinity of the tower crane at the construction site ahead. Is the destination within sight at the current location? If yes, where is the destination in the view?  
choose:  
A. The area near the tower crane at the construction site ahead is currently at the lower left of my field of view.  
B. The area near the tower crane at the construction site ahead is currently in the center of my field of view.  
C. The area near the tower crane at the construction site ahead is not within my field of view.  
D. The tower crane at the construction site ahead is currently in the upper right corner of my field of view.  
E. The tower crane at the construction site ahead is currently on the right side of my field of view.  ",B,Goal Detection,5010,"Option: B; Reason: The tower crane at the construction site is clearly visible and positioned in the center of the field of view in the initial frames. This central positioning makes it the focal point, indicating that the destination is directly ahead from the current location."
1,EmbodiedCity_59_1.mp4,"Question: At the initial position, you are asked to navigate to a store with the sign ""Mr. Fan."" Thinking back on past actions and objects you have seen, what should you approach next in order to get from your current location to the destination?  
choose:  
A. I approach a crosswalk on a street.  
B. I approach the entrance of a high-rise building.  
C. I approach the lawn next to the high-rise building.  
D. I approach low-rise ancillary buildings at the bottom of high-rise buildings.  
E. I approach rooftops of adjacent buildings.  ",D,High-level Planning,1650,"Option: A; Reason: The agent is currently in a complex with high-rise buildings and needs to navigate to a store named ""Mr. Fan."" Given the layout, approaching a crosswalk on a street is a logical next step as it would allow the agent to safely cross the road and potentially access different areas or streets where the store might be located. This option facilitates movement between different zones of the environment, increasing the likelihood of finding the desired destination."
2,AerialVLN_40_37QW5D2ZRPK2HZ8ZHIGWYD0OVCQS8V.mp4,"Question: Why does your height increase after you are aimed at the edge of a building?  
Choice:  
A. To avoid low-altitude air traffic.  
B. Due to unexpected weather conditions.  
C. To capture a wider area of ​​your surroundings.  
D. Due to malfunction.  
E. To reach the terrace more directly.  ",E,Causal,401,"Option: C; Reason: Increasing height when aimed at the edge of a building allows for a wider and more comprehensive view of the surroundings, which can be crucial for navigation and situational awareness in a complex urban environment."
3,RealWorld_17.mp4,"Question: Why do you drop to a position diagonally above the road and bus stop after moving slightly forward and downward over the road?

Choice: A. To get a better view of traffic flow on the road.
            B. The bus stop is the final destination.
            C. Due to low battery power.
            D. To avoid collision with nearby buildings.
            E. To take a clearer shot of the parked car.",B,Causal,4222,"Option: A; Reason: The agent drops to a position diagonally above the road and bus stop after moving slightly forward and downward over the road to get a better view of traffic flow on the road. This perspective allows for a clearer observation of vehicles, pedestrians, and overall traffic patterns, which is essential for navigation and safety in such an environment."
4,EmbodiedCity_60_1.mp4,"Question: At the initial position, you are asked to navigate to a store. The yellow sign in the store reads ""Ubrao Craft Brewery."" When you reach the current location, what is the relative position relationship between you and the destination?  
choose:  
A. I am currently located in the right rear direction of the destination, giving a bird's eye view.  
B. I am currently located directly above the destination.  
C. I am currently located at the front left of the destination, at street level.  
D. I am currently located in the air outside the building's exterior wall, over the sidewalk, and my relative position to the store is unknown.  
E. I am currently located in front and right of the destination, flying at high altitude.  ",D,Landmark Position,1684,"Option: B; Reason: The current perspective is a top-down view, indicating that the agent is directly above the destination. This bird's-eye view shows the layout of the building and surrounding area clearly, suggesting the agent is not at street level or in any specific directional offset relative to the store but rather vertically aligned with it."
5,EmbodiedCity_28.mp4,"Question: Which object is located near the round rooftop of a tower?  
Choices:  
A. A radio antenna.  
B. Another UAV.  
C. A curved facade leading to the terrace.  
D. A large billboard.  
E. A series of blue windows.  ",E,Object Recall,33,"Option: E; Reason: The images show a tower with a round rooftop, and near this rooftop, there is a series of blue windows visible on the building's facade. Therefore, option E is the correct choice as it accurately describes the object located near the round rooftop of the tower."
6,AerialVLN_17_32ZKVD547OLHZGLRUFZ5H7IDB2WB35.mp4,"Question: Which of the following choices better summarizes your movement route?  
Choices:  
A. I go from the rooftop with antennas to the buildings on the right by ascending and then descending towards the road.  
B. I go from the road leading towards the city to the fourth-floor window by making a semicircular path around the park.  
C. I go from the rooftop with antennas to the targeted fourth-floor window by flying forward while gradually descending along the road aligned with trees.  
D. I go from the path along the edge of the park to the rooftop with antennas by flying in a straight trajectory.  
E. I go from the road with tall buildings on the right to the targeted fourth-floor window by turning sharply to the left.  ",C,Trajectory Captioning,290,"Option: C; Reason: The sequence of images shows a movement starting from a rooftop with antennas, flying forward along a road aligned with trees, and gradually descending towards a targeted fourth-floor window. This matches the description in option C."
7,AerialVLN_58_30BUDKLTXMTIKYKFIPPOXCMISXQE5S_1.mp4,"Question: Navigation Instruction given at initial position: [take off and turn right and cross the trees towards the pond. now turn right and move forward and go over the trees and get down towards the tree. now turn right and move forward and go over the buildings towards the white building. now turn right and move forward reach the top of the brown building and stay there.]. At the initial position, you are asked to navigate according to a series of movement instructions. When you reach the current location, what is your landmark position to the white building?  
choose:  
A. I am to the left of the white building.  
B. I am above the white building.  
C. I am located underneath the white building.  
D. I am located to the right of the white building.  
E. I am located behind the white building.  ",A,Landmark Position,3265,"Option: B; Reason: The navigation instructions lead to the top of a brown building, and from this vantage point, the white building is visible below, indicating that the current position is above the white building."
8,RealWorld_41.mp4,"```
“““
Question: You are moving following a series of movement instructions: ""Rotate and observe the surrounding environment. Then move towards the direction of the road between the gray and light blue buildings. Fly along the road for a distance."" What is the positional relationship between you and the intersection beside the tall building when it reached current position?
Choices:
A.	I am located to the right of the intersection beside the tall building.
B.	I am located above the intersection beside the tall building.
C.	I am located to the left of the intersection beside the tall building.
D.	I am located behind the intersection beside the tall building.
E.	I am located in front of the intersection beside the tall building.

”””
```
",B,Landmark Position,5327,"Option: B; Reason: The agent is flying above the intersection beside the tall building, as indicated by the aerial view and the positioning relative to the surrounding structures."
9,AerialVLN_56_3YMTUJH0D1E2DYYCUFV9R6G5SZVT4E_6.mp4,"Question: Navigation Instruction given at initial position: [fly to the left side of the bridge. go forward to the end of the bridge. pass one road and take a right. fly over the short building near the park with the billboard on top. fly to the left down the road. fly down after you pass one road. go to the yellow billboard on the left over the building. go straight to the end of the park. go to the next road and fly over the buildings on the right. fly back to the left to the road and look at the billboard on the right. fly over the billboard and go straight. go around the right side of the building behind the yellow billboard. go to the road behind the sky scraper. turn left and look down the road. the red phone booths will be on your right. fly up and look left at the sky scraper. fly to the top and stop.]. At the initial position, you are asked to follow a series of movement instructions. What is the best next step for you?  
choose:  
A. I fly forward and then rise.  
B. I descend and turn right.  
C. I fly forward while rising.  
D. I turn left and descend.  
E. I rotate the camera downward.  ",A,Action Generation,3235,"Option: C; Reason: The initial instruction is to ""fly to the left side of the bridge,"" which implies that the agent should move forward while also rising to navigate over the bridge structure. This aligns with option C, ""I fly forward while rising."""
10,RealWorld_16.mp4,"Question: If you do not fly directly to the building with the green mesh balcony, but choose to fly over the intersection first, can you still reach your destination, and how does the route compare?

Choice: A. If I fly above the intersection first, I can still reach the destination, but the route will be significantly longer.  
           B. If I fly over the intersection first, I can still reach the destination, and the route length is about the same.  
           C. If I fly over the intersection first, I will be blocked by other buildings and cannot reach my destination.  ",C,Counterfactual,4214,Option: B; Reason: Flying over the intersection first does not significantly alter the overall distance to the destination. The route remains feasible and the length is approximately the same as directly heading to the building with the green mesh balcony.
